5094,-586,16155,-67,-31,5
5094,-587,16157,-65,-33,10
5094,-590,16158,-67,-30,7
5093,-590,16156,-66,-31,3
5094,-587,16159,-61,-34,3
5096,-584,16153,-66,-31,2
5094,-584,16150,-67,-30,6
5098,-590,16156,-63,-31,10
5096,-588,16160,-65,-28,5
5094,-591,16156,-64,-30,1
5092,-578,16151,-66,-34,3
5104,-585,16148,-70,-28,5
5094,-583,16147,-71,-29,8
5090,-583,16154,-66,-31,9
5087,-582,16150,-68,-32,4
5084,-581,16147,-64,-33,2
5085,-576,16145,-64,-34,6
5083,-573,16140,-71,-31,7
5080,-575,16147,-68,-34,9
5080,-575,16149,-65,-35,7
5085,-575,16142,-66,-32,1
5080,-570,16140,-63,-32,3
5083,-568,16142,-64,-32,7
5085,-569,16139,-69,-28,9
5081,-570,16141,-63,-29,8
5079,-568,16142,-62,-30,5
5082,-570,16141,-66,-29,0
5078,-570,16141,-64,-29,4
5076,-571,16146,-67,-28,8
5075,-572,16145,-72,-26,7
5071,-572,16148,-67,-30,5
5074,-571,16145,-67,-29,1
5075,-571,16140,-70,-27,0
5073,-569,16142,-68,-29,7
5075,-571,16145,-70,-27,10
5075,-576,16143,-71,-26,6
5071,-575,16145,-65,-31,3
5075,-573,16142,-66,-30,0
5075,-571,16135,-70,-27,2
5074,-568,16138,-68,-30,8
5076,-572,16146,-71,-30,7
5074,-574,16144,-70,-29,2
5072,-569,16149,-65,-32,1
5074,-565,16150,-69,-30,1
5076,-565,16149,-71,-28,5
5075,-566,16155,-68,-30,10
5076,-569,16159,-70,-30,6
5077,-571,16153,-68,-31,0
5078,-566,16155,-65,-33,1
5080,-566,16154,-70,-30,5
5079,-569,16153,-71,-29,8
5076,-573,16161,-66,-33,8
5079,-576,16159,-68,-33,1
5081,-575,16157,-64,-33,-2
5077,-569,16159,-64,-33,2
5081,-571,16161,-72,-29,7
5077,-573,16159,-72,-31,7
5079,-574,16161,-67,-33,4
5084,-572,16154,-70,-31,0
5087,-570,16139,-68,-29,1
5081,-567,16147,-68,-27,7
5078,-571,16156,-75,-24,8
5073,-566,16153,-74,-28,4
5078,-569,16158,-68,-31,0
5073,-563,16152,-74,-30,-4
5070,-559,16146,-73,-31,1
5067,-554,16148,-74,-32,8
5067,-560,16150,-77,-29,5
5065,-559,16143,-72,-32,2
5073,-564,16141,-68,-33,0
5074,-561,16133,-72,-30,0
5078,-565,16133,-70,-30,6
5079,-568,16140,-70,-30,11
5086,-576,16135,-71,-27,6
5084,-578,16144,-64,-30,2
5087,-580,16153,-66,-30,0
5085,-579,16152,-74,-29,0
5081,-577,16158,-73,-31,6
5082,-577,16163,-74,-34,5
5076,-579,16161,-77,-36,0
5076,-574,16159,-71,-40,0
5079,-567,16154,-74,-40,1
5077,-566,16144,-78,-39,4
5084,-568,16139,-72,-39,8
5082,-570,16151,-69,-38,5
5083,-582,16155,-67,-38,0
5084,-580,16162,-62,-39,2
5087,-581,16166,-66,-37,5
5083,-580,16164,-70,-37,7
5080,-582,16176,-66,-40,8
5082,-581,16177,-69,-40,3
5081,-580,16171,-71,-41,0
5083,-579,16168,-66,-43,3
5087,-581,16167,-71,-40,3
5086,-583,16166,-72,-39,4
5086,-585,16173,-66,-40,5
5088,-586,16172,-67,-39,0
5086,-582,16167,-67,-41,0
5089,-582,16168,-65,-42,5
5090,-583,16164,-71,-38,7
5092,-586,16163,-70,-39,8
5096,-589,16170,-65,-41,8
5097,-593,16170,-68,-38,3
5095,-589,16163,-67,-38,3
5096,-590,16168,-66,-37,8
5094,-593,16166,-71,-34,8
5091,-595,16167,-68,-34,7
5091,-592,16172,-64,-37,3
5090,-589,16168,-69,-35,0
5087,-583,16165,-70,-35,1
5088,-580,16168,-70,-36,7
5086,-585,16167,-75,-35,5
5087,-589,16165,-70,-38,3
